country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw,polygon
Maritime,,NAVAREA IV 755/26,MSI,2026-08-05T03:09:00Z,2026-08-16T18:17:00Z,31.186944,-77.471306,,,"050309Z AUG 26  NAVAREA IV 755/26.  NORTH ATLANTIC.  FLORIDA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      101449Z TO 101931Z AUG, ALTERNATE     111426Z TO 111908Z, 121404Z TO 121846Z,      131342Z TO 131824Z, 141319Z TO 141801Z,      151257Z TO 151739Z AND 161235Z TO 161717Z AUG     IN AREAS BOUND BY:     A. 31-37.00N 077-09.00W, 32-23.00N 076-52.00W,        33-08.00N 075-40.00W, 33-12.00N 075-13.00W,        32-54.00N 074-58.00W, 32-36.00N 075-02.00W,        31-51.00N 076-13.00W, 31-32.00N 077-03.00W.     B. 28-39.18N 080-37.82W, 29-00.00N 080-14.00W,        28-53.00N 080-05.00W, 28-29.42N 080-32.52W.  2. CANCEL THIS MSG 161817Z AUG 26.","[[[31.616667, -77.15], [32.383333, -76.866667], [33.133333, -75.666667], [33.2, -75.216667], [32.9, -74.966667], [32.6, -75.033333], [31.85, -76.216667], [31.533333, -77.05]], [[28.653, -80.630333], [29.0, -80.233333], [28.883333, -80.083333], [28.490333, -80.542]]]"
Maritime,,NAVAREA IV 741/26,MSI,2026-07-30T08:35:00Z,2026-08-11T09:09:00Z,31.098061,-77.779424,,,"300835Z JUL 26  NAVAREA IV 741/26.  NORTH ATLANTIC.  FLORIDA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      050732Z TO 051012Z AUG, ALTERNATE      060712Z TO 060951Z, 070651Z TO 070931Z,      080631Z TO 080910Z, 090610Z TO 090850Z,      100550Z TO 100829Z AND      110530Z TO 110809Z AUG IN AREAS BOUND BY:     A. 32-09.00N 077-03.00W, 33-45.00N 075-40.00W,        34-04.00N 074-47.00W, 33-34.00N 074-20.00W,        33-04.00N 074-41.00W, 31-59.00N 076-55.00W.     B. 28-36.55N 080-36.00W, 28-57.00N 080-20.00W,        28-50.00N 080-13.00W, 28-35.00N 080-26.00W,        28-31.17N 080-33.42W.  2. CANCEL THIS MSG 110909Z AUG 26.","[[[32.15, -77.05], [33.75, -75.666667], [34.066667, -74.783333], [33.566667, -74.333333], [33.066667, -74.683333], [31.983333, -76.916667]], [[28.609167, -80.6], [28.95, -80.333333], [28.833333, -80.216667], [28.583333, -80.433333], [28.5195, -80.557]]]"
Maritime,,NAVAREA XII 529/26,MSI,2026-08-05T00:15:00Z,2026-08-16T18:43:00Z,30.878788,-121.415152,,,"050015Z AUG 26  NAVAREA XII 529/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:     A. 061400Z TO 061852Z AUG, ALTERNATE         1400Z TO 1852Z DAILY 07 THRU 12 AUG        IN AREA BOUND BY        34-29.00N 120-29.00W, 34-40.00N 120-37.00W,        34-38.00N 120-42.00W, 33-49.00N 120-55.00W,        29-13.00N 121-56.00W, 29-13.00N 121-36.00W.     B. 061400Z TO 161843Z AUG, ALTERNATE        1400Z TO 1843Z DAILY 07 THRU 12 AUG        IN AREA BOUND BY        29-13.00N 121-31.00W, 29-13.00N 122-03.00W,        28-49.00N 122-14.00W, 27-41.00N 122-06.00W,        28-42.00N 121-25.00W.  2. CANCEL NAVAREA XII 524/2026.  3. CANCEL THIS MSG 121952Z AUG 26.","[[[34.483333, -120.483333], [34.666667, -120.616667], [34.633333, -120.7], [33.816667, -120.916667], [29.216667, -121.933333], [29.216667, -121.6]], [[29.216667, -121.516667], [29.216667, -122.05], [28.816667, -122.233333], [27.683333, -122.1], [28.7, -121.416667]]]"
Maritime,,NAVAREA XII 509/26,MSI,2026-07-27T04:57:00Z,2026-08-07T23:59:00Z,30.878788,-121.415152,,,"270457Z JUL 26  NAVAREA XII 509/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:     A. 011400Z TO 011825Z AUG, ALTERNATE        1400Z TO 1825Z DAILY 02 THRU 07 AUG        IN AREA BOUND BY        34-29.00N 120-29.00W, 34-40.00N 120-37.00W,        34-38.00N 120-42.00W, 33-49.00N 120-55.00W,        29-13.00N 121-56.00W, 29-13.00N 121-36.00W.     B. 011400Z AUG TO 011843Z AUG, ALTERNATE        1400Z AUG TO 1843Z DAILY 02 THRU 07 AUG        IN AREA BOUND BY        29-13.00N 121-31.00W, 29-13.00N 122-03.00W,        28-49.00N 122-14.00W, 27-41.00N 122-06.00W,        28-42.00N 121-25.00W.  2. CANCEL THIS MSG 071943Z AUG 26.","[[[34.483333, -120.483333], [34.666667, -120.616667], [34.633333, -120.7], [33.816667, -120.916667], [29.216667, -121.933333], [29.216667, -121.6]], [[29.216667, -121.516667], [29.216667, -122.05], [28.816667, -122.233333], [27.683333, -122.1], [28.7, -121.416667]]]"
Maritime,,HYDROLANT 237/26(54),MSI,2026-02-03T17:44:00Z,2027-01-01T00:01:00Z,35.904315,25.148148,,,"031744Z FEB 26  HYDROLANT 237/26(54).  AEGEAN SEA.  DNC 09.  1. MISSILE OPERATIONS 0530Z TO SUNSET DAILY EVERY     WEDNESDAY THRU SATURDAY UNTIL 14 JUN AND     16 SEB THRU 31 DEC IN AREAS:     A. BOUND BY        35-36.00N 024-07.00E, 36-18.00N 024-07.00E,        36-18.00N 025-59.00E, 36-25.00N 026-12.00E,        36-16.00N 026-40.00E, 35-36.00N 026-41.00E,        35-31.00N 024-11.00E.     B. WITHIN ONE MILE OF 35-32.00N 024-13.00E.     C. WITHIN ONE MILE OF 35-36.33N 024-10.00E.  2. CANCEL THIS MSG 010001Z JAN 27.","[[[35.6, 24.116667], [36.3, 24.116667], [36.3, 25.983333], [36.416667, 26.2], [36.266667, 26.666667], [35.6, 26.683333], [35.516667, 24.183333]], [[35.533333, 24.216667]], [[35.6055, 24.166667]]]"
Maritime,,HYDROPAC 2235/26,MSI,2026-08-02T16:29:00Z,2026-08-16T20:51:00Z,-47.290476,124.407143,,,"021629Z AUG 26  HYDROPAC 2235/26.  EASTERN INDIAN OCEAN.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS      101709Z TO 102205Z, 111646Z TO 112142Z,       121624Z TO 122120Z, 131602Z TO 132058Z,       141539Z TO 142035Z, 151517Z TO 152013Z,       AND 161455Z TO 161951Z AUG IN AREA BOUND BY     48-02.00S 159-55.00E, 47-11.00S 158-59.00E,     51-17.00S 115-27.00E, 39-52.00S 082-05.00E,     41-36.00S 080-09.00E, 53-37.00S 114-28.00E,     49-27.00S 159-48.00E.  2. CANCEL THIS MSG 162051Z AUG 26.","[[[-48.033333, 159.916667], [-47.183333, 158.983333], [-51.283333, 115.45], [-39.866667, 82.083333], [-41.6, 80.15], [-53.616667, 114.466667], [-49.45, 159.8]]]"
Maritime,,HYDROPAC 2211/26,MSI,2026-07-31T19:48:00Z,2026-08-14T23:59:00Z,-42.666667,-160.2,,,"311948Z JUL 26  HYDROPAC 2211/26.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     1543Z TO 2029Z DAILY 08 THRU 14 AUG     IN AREA BOUND BY     25-23.00S 156-56.00W, 26-03.00S 153-24.00W,      43-04.00S 157-03.00W, 59-49.00S 163-34.00W,      59-13.00S 168-58.00W, 42-28.00S 161-17.00W.  2. CANCEL THIS MSG 142129Z AUG 26.","[[[-25.383333, -156.933333], [-26.05, -153.4], [-43.066667, -157.05], [-59.816667, -163.566667], [-59.216667, -168.966667], [-42.466667, -161.283333]]]"
Maritime,,HYDROPAC 2185/26,MSI,2026-07-29T23:17:00Z,2026-08-18T23:59:00Z,-41.4125,-166.3875,,,"292317Z JUL 26  HYDROPAC 2185/26.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     0200Z TO 1115Z DAILY 05 THRU 18 AUG     IN AREAS BOUND BY:     A. 39-42.00S 176-36.00W, 40-30.00S 170-54.00W,        41-54.00S 171-06.00W, 41-00.00S 177-12.00W.     B. 41-24.00S 161-42.00W, 41-18.00S 155-54.00W,        42-42.00S 155-48.00W, 42-48.00S 161-54.00W.  2. CANCEL THIS MSG 181215Z AUG 26.","[[[-39.7, -176.6], [-40.5, -170.9], [-41.9, -171.1], [-41.0, -177.2]], [[-41.4, -161.7], [-41.3, -155.9], [-42.7, -155.8], [-42.8, -161.9]]]"
Maritime,,HYDROPAC 2184/26,MSI,2026-07-31T04:21:00Z,2026-08-18T23:59:00Z,-39.845455,50.085152,,,"310421Z JUL 26  HYDROPAC 2184/26.  SOUTH PACIFIC.  NEW ZEALAND.  1. HAZARDOUS OPERATIONS 0200Z TO 1115Z DAILY     05 THRU 18 AUG:     A. ROCKET LAUNCHING IN AREA BOUND BY        39-12.00S 177-49.00E, 39-12.00S 177-57.00E,        39-06.00S 178-13.20E, 39-12.00S 178-42.00E,        39-42.00S 178-42.00E, 39-30.00S 177-45.00E,        39-18.00S 177-36.00E.     B. SPACE DEBRIS IN AREA BOUND BY        39-42.00S 176-36.00W, 40-30.00S 170-54.00W,        41-54.00S 171-06.00W, 41-00.00S 177-12.00W.  2. CANCEL THIS MSG 181215Z AUG 26.","[[[-39.2, 177.816667], [-39.2, 177.95], [-39.1, 178.22], [-39.2, 178.7], [-39.7, 178.7], [-39.5, 177.75], [-39.3, 177.6]], [[-39.7, -176.6], [-40.5, -170.9], [-41.9, -171.1], [-41.0, -177.2]]]"
Maritime,,HYDROPAC 2183/26,MSI,2026-07-28T09:38:00Z,2026-08-11T11:42:00Z,-48.661111,118.416667,,,"280938Z JUL 26  HYDROPAC 2183/26.  EASTERN INDIAN OCEAN.  SOUTH PACIFIC.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     050952Z TO 051245Z, 060932Z TO 061224Z,      070911Z TO 071204Z, 080851Z TO 081143Z,      090830Z TO 091123Z, 100810Z TO 101102Z AND     110750Z TO 111042Z AUG IN AREA BOUND BY     40-53.00S 081-04.00E, 47-30.00S 097-30.00E,     51-11.00S 117-25.00E, 51-06.00S 138-56.00E,     47-16.00S 158-45.00E, 50-07.00S 157-59.00E,     54-19.00S 130-56.00E, 51-50.00S 102-47.00E,     43-45.00S 080-23.00E.  2. CANCEL THIS MSG 111142Z AUG 26.","[[[-40.883333, 81.066667], [-47.5, 97.5], [-51.183333, 117.416667], [-51.1, 138.933333], [-47.266667, 158.75], [-50.116667, 157.983333], [-54.316667, 130.933333], [-51.833333, 102.783333], [-43.75, 80.383333]]]"
