country,id,notam_id,fir,from_utc,to_utc,lat,lon,radius_nm,qcode,raw,polygon
Maritime,,NAVAREA IV 491/26,MSI,2026-05-24T08:45:00Z,2026-06-04T15:20:00Z,32.495833,-75.952084,,,"240845Z MAY 26  NAVAREA IV 491/26.  NORTH ATLANTIC.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      291152Z TO 291634Z MAY, ALTERNATE      301130Z TO 301612Z, 311108Z TO 311550Z MAY,     011045Z TO 011527Z, 021023Z TO 021505Z,     031001Z TO 031443Z, AND 040938Z TO 041420Z JUN     IN AREA BOUND BY     31-42.00N 077-10.00W, 32-23.00N 076-52.00W,     33-08.00N 075-40.00W, 33-28.00N 074-58.00W,     33-19.00N 074-46.00W, 32-36.00N 075-02.00W,     31-51.00N 076-13.00W, 31-31.00N 076-56.00W.  2. CANCEL THIS MSG 041520Z JUN 26.","[[[31.7, -77.166667], [32.383333, -76.866667], [33.133333, -75.666667], [33.466667, -74.966667], [33.316667, -74.766667], [32.6, -75.033333], [31.85, -76.216667], [31.516667, -76.933333]]]"
Maritime,,NAVAREA IV 490/26,MSI,2026-05-24T07:20:00Z,2026-06-04T23:58:00Z,34.56057,-71.356395,,,"240720Z MAY 26  NAVAREA IV 490/26.  NORTH ATLANTIC.  FLORIDA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      292333Z TO 300105Z MAY, ALTERNATE     302312Z TO 310044Z, 312250Z MAY TO 010022Z JUN,     012229Z TO 020001Z, 022208Z TO 022340Z,      032147Z TO 032319Z AND 042126Z TO 042258Z JUN     IN AREAS BOUND BY:     A. 28-38.79N 080-37.53W, 29-14.00N 080-14.00W,        29-28.00N 079-44.00W, 29-22.00N 079-36.00W,        28-56.00N 079-48.00W, 28-38.00N 080-10.00W,        28-32.26N 080-33.76W.     B. 30-01.00N 079-20.00W, 31-00.00N 078-19.00W,        30-46.00N 077-59.00W, 29-48.00N 079-04.00W.     C. 34-13.00N 074-56.00W, 36-26.00N 072-02.00W,        35-48.00N 071-18.00W, 33-36.00N 074-09.00W.     D. 47-26.00N 050-52.00W, 49-38.00N 043-46.00W,        48-39.00N 043-08.00W, 46-29.00N 050-10.00W.  2. CANCEL THIS MSG 042358Z JUN 26.","[[[28.6465, -80.6255], [29.233333, -80.233333], [29.466667, -79.733333], [29.366667, -79.6], [28.933333, -79.8], [28.633333, -80.166667], [28.537667, -80.562667]], [[30.016667, -79.333333], [31.0, -78.316667], [30.766667, -77.983333], [29.8, -79.066667]], [[34.216667, -74.933333], [36.433333, -72.033333], [35.8, -71.3], [33.6, -74.15]], [[47.433333, -50.866667], [49.633333, -43.766667], [48.65, -43.133333], [46.483333, -50.166667]]]"
Maritime,,NAVAREA IV 476/26,MSI,2026-05-19T14:45:00Z,2026-05-31T15:10:00Z,31.034179,-77.660321,,,"191445Z MAY 26  NAVAREA IV 476/26.  NORTH ATLANTIC.  FLORIDA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      251141Z TO 251623Z MAY, ALTERNATE     261119Z T0 261601Z, 271057Z TO 271539Z,     281035Z TO 281517Z, 291012Z TO 291454Z,     300950Z TO 301432Z AND      310928Z TO 311410Z MAY IN AREAS BOUND BY:     A. 31-42.00N 077-10.00W, 32-23.00N 076-52.00W,        33-08.00N 075-40.00W, 33-28.00N 074-58.00W,        33-19.00N 074-46.00W, 32-36.00N 075-02.00W,        31-51.00N 076-13.00W, 31-31.00N 076-56.00W.     B. 28-37.89N 080-36.88W, 28-56.00N 080-14.00W,        28-51.00N 080-09.00W, 28-33.00N 080-25.00W,        28-30.77N 080-33.17W.  2. CANCEL THIS MSG 311510Z MAY 26.","[[[31.7, -77.166667], [32.383333, -76.866667], [33.133333, -75.666667], [33.466667, -74.966667], [33.316667, -74.766667], [32.6, -75.033333], [31.85, -76.216667], [31.516667, -76.933333]], [[28.6315, -80.614667], [28.933333, -80.233333], [28.85, -80.15], [28.55, -80.416667], [28.512833, -80.552833]]]"
Maritime,,NAVAREA IV 447/26,MSI,2026-05-11T14:31:00Z,2026-06-18T06:01:00Z,5.5715,-52.768875,,,"111431Z MAY 26  NAVAREA IV 447/26.  NORTH ATLANTIC.  FRENCH GUIANA.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     0254Z TO 0501Z DAILY 19 MAY THRU 18 JUN      IN AREA BOUND BY     05-50.55N 052-47.95W, 05-50.55N 052-41.80W,     05-12.60N 052-40.98W, 05-23.46N 052-53.80W.  2. CANCEL THIS MSG 180601Z JUN 26.","[[[5.8425, -52.799167], [5.8425, -52.696667], [5.21, -52.683], [5.391, -52.896667]]]"
Maritime,,NAVAREA XII 372/26,MSI,2026-05-20T05:53:00Z,2026-06-05T23:59:00Z,30.859259,-121.375926,,,"200553Z MAY 26  NAVAREA XII 372/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:      A. 310200Z TO 310624Z MAY, ALTERNATE         0200Z TO 0624Z DAILY 01 AND 02 JUN,         1400Z TO 1824Z DAILY 02 THRU 05 JUN        IN AREA BOUND BY        31-46.00N 121-08.00W, 31-43.00N 121-15.00W,        34-41.00N 120-39.00W, 34-31.00N 120-26.00W.     B. 310200Z TO 310643Z MAY, ALTERNATE         0200Z TO 0643Z DAILY 01 AND 02 JUN,         1400Z TO 1843Z DAILY 02 THRU 05 JUN        IN AREA BOUND BY        28-16.00N 121-48.00W, 28-34.00N 122-21.00W,        29-47.00N 121-46.00W, 29-47.00N 121-35.00W,        28-39.00N 121-25.00W.  2. CANCEL THIS MSG 051943Z JUN 26.","[[[31.766667, -121.133333], [31.716667, -121.25], [34.683333, -120.65], [34.516667, -120.433333]], [[28.266667, -121.8], [28.566667, -122.35], [29.783333, -121.766667], [29.783333, -121.583333], [28.65, -121.416667]]]"
Maritime,,NAVAREA XII 371/26,MSI,2026-05-24T07:20:00Z,2026-06-05T01:25:00Z,1.0625,-125.604166,,,"240720Z MAY 26  NAVAREA XII 371/26.  PACIFIC OCEAN.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING     300046Z TO 300233Z MAY, ALTERNATE     310025Z TO 310211Z MAY, 010003Z TO 010149Z,      012342Z TO 020128Z, 022321Z TO 030107Z,     032300Z TO 040046Z AND      042239Z TO 050025Z JUN IN AREA BOUND BY     06-49.00S 132-47.00W, 10-24.00N 120-26.00W,     08-56.00N 118-25.00W, 08-16.00S 130-47.00W.  2. CANCEL THIS MSG 050125Z JUN 26.","[[[-6.816667, -132.783333], [10.4, -120.433333], [8.933333, -118.416667], [-8.266667, -130.783333]]]"
Maritime,,NAVAREA XII 370/26,MSI,2026-05-22T19:31:00Z,2026-06-03T19:43:00Z,30.859259,-121.375926,,,"221931Z MAY 26  NAVAREA XII 370/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING      A. 281400Z TO 281824Z MAY, ALTERNATE        1400Z TO 1824Z 29 MAY THRU 03 JUN        IN AREA BOUND BY:        31-46.00N 121-08.00W, 31-43.00N 121-15.00W,        34-41.00N 120-39.00W, 34-31.00N 120-26.00W.     B. 281400Z TO 281843Z MAY, ALTERNATE        1400Z TO 1843Z 29 MAY THRU 03 JUN        IN AREA BOUND BY:        28-16.00N 121-48.00W, 28-34.00N 122-21.00W,        29-47.00N 121-46.00W, 29-47.00N 121-35.00W,        28-39.00N 121-25.00W.  2. CANCEL THIS MSG 031943Z JUN 26.","[[[31.766667, -121.133333], [31.716667, -121.25], [34.683333, -120.65], [34.516667, -120.433333]], [[28.266667, -121.8], [28.566667, -122.35], [29.783333, -121.766667], [29.783333, -121.583333], [28.65, -121.416667]]]"
Maritime,,NAVAREA XII 358/26,MSI,2026-05-20T19:56:00Z,2026-05-31T23:59:00Z,30.859259,-121.375926,,,"201956Z MAY 26  NAVAREA XII 358/26.  NORTH PACIFIC.  CALIFORNIA.  1. HAZARDOUS OPERATIONS, ROCKET LAUNCHING:     A. 221400Z TO 221824Z MAY, ALTERNATE        1400Z TO 1824Z DAILY 23 THRU 31 MAY        IN AREA BOUND BY        31-46.00N 121-08.00W, 31-43.00N 121-15.00W,        34-41.00N 120-39.00W, 34-31.00N 120-26.00W.     B. 221400Z TO 221843Z MAY, ALTERNATE        1400Z TO 1843Z DAILY 23 THRU 31 MAY        IN AREA BOUND BY        28-16.00N 121-48.00W, 28-34.00N 122-21.00W,        29-47.00N 121-46.00W, 29-47.00N 121-35.00W,        28-39.00N 121-25.00W.  2. CANCEL NAVAREA XII 349/26.  3. CANCEL THIS MSG 311943Z MAY 26.","[[[31.766667, -121.133333], [31.716667, -121.25], [34.683333, -120.65], [34.516667, -120.433333]], [[28.266667, -121.8], [28.566667, -122.35], [29.783333, -121.766667], [29.783333, -121.583333], [28.65, -121.416667]]]"
Maritime,,HYDROLANT 237/26(54),MSI,2026-02-03T17:44:00Z,2027-01-01T00:01:00Z,35.904315,25.148148,,,"031744Z FEB 26  HYDROLANT 237/26(54).  AEGEAN SEA.  DNC 09.  1. MISSILE OPERATIONS 0530Z TO SUNSET DAILY EVERY     WEDNESDAY THRU SATURDAY UNTIL 14 JUN AND     16 SEB THRU 31 DEC IN AREAS:     A. BOUND BY        35-36.00N 024-07.00E, 36-18.00N 024-07.00E,        36-18.00N 025-59.00E, 36-25.00N 026-12.00E,        36-16.00N 026-40.00E, 35-36.00N 026-41.00E,        35-31.00N 024-11.00E.     B. WITHIN ONE MILE OF 35-32.00N 024-13.00E.     C. WITHIN ONE MILE OF 35-36.33N 024-10.00E.  2. CANCEL THIS MSG 010001Z JAN 27.","[[[35.6, 24.116667], [36.3, 24.116667], [36.3, 25.983333], [36.416667, 26.2], [36.266667, 26.666667], [35.6, 26.683333], [35.516667, 24.183333]], [[35.533333, 24.216667]], [[35.6055, 24.166667]]]"
Maritime,,HYDROPAC 1535/26,MSI,2026-05-24T12:54:00Z,2026-06-04T20:08:00Z,-48.36,118.33,,,"241254Z MAY 26  HYDROPAC 1535/26.  EASTERN INDIAN OCEAN.  SOUTH PACIFIC.  TASMAN SEA.  1. HAZARDOUS OPERATIONS, SPACE DEBRIS     1158Z TO 1908Z DAILY 29 MAY THRU 04 JUN     IN AREA WITHIN 100 MILES OF TRACKLINE JOINING     40-43.00S 081-08.00E, 48-04.00S 097-01.00E,     52-27.00S 115-27.00E, 52-32.00S 138-10.00E,     48-02.00S 159-53.00E.  2. CANCEL THIS MSG 042008Z JUN 26.","[[[-40.716667, 81.133333], [-48.066667, 97.016667], [-52.45, 115.45], [-52.533333, 138.166667], [-48.033333, 159.883333]]]"
