Launch Date and Time (UTC),Launch Site (Abbrv.),Latitude,Longitude,Launch Vehicle,Official Payload Name,Launch Site (Full),Launch Pad,Location Slug,Details URL,Description
2026 SEP 15 2155,SHSL,31.2,123.7,TBD,Shanghai Sea Launch,Shanghai Sea Launch,,,"Manual schedule anchored to NOTAM A4352/26."
2026 SEP 16 1333,Baikonur,45.996034,63.564003,Soyuz 2.1b,Progress MS-35 (96P),Baikonur Cosmodrome,31/6,,"Manual schedule anchored to official NOTAMs C6157/26, K2526/26 and A5906/26."
