Launch Date and Time (UTC),Launch Site (Abbrv.),Latitude,Longitude,Launch Vehicle,Official Payload Name,Success,Launch Site (Full)
2025 FEB 18 2321,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-12,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 FEB 18 2317,LC-1,-39.262833,177.864469,Electron,Fasten Your Space Belts (BlackSky Gen-3 1),S,"Rocket Lab Launch Complex 1B / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2025 FEB 15 0614,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 12-8,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 FEB 11 1853,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 12-18,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 FEB 11 0930,WSLC,19.618452,110.955356,Long March 8A,SatNet LEO Group 02 (Demo Flight),S,"201 / Wenchang Space Launch Site, People's Republic of China"
2025 FEB 11 0209,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 11-10,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2025 FEB 08 2043,LC-1,-39.262833,177.864469,Electron,IoT 4 You and Me (Kinéis 16-20),S,"Rocket Lab Launch Complex 1A / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2025 FEB 08 1918,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 12-9,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 FEB 05 0359,Plesetsk,62.92883,40.457098,Soyuz 2.1v Volga,Soyuz 2.1v/Volga | Kosmos 2581/2582/2583,S,"43/4 (43R) / Plesetsk Cosmodrome, Russian Federation"
2025 FEB 04 2313,KSC,28.60822681,-80.60428186,Falcon 9 Block 5,WorldView Legion 5 & 6,S,"Launch Complex 39A / Kennedy Space Center, FL, USA"
2025 FEB 04 1600,SA,31.422878,-104.757121,New Shepard,NS-29,S,"West Texas Suborbital Launch Site/ Corn Ranch / Corn Ranch, Van Horn, TX, USA"
2025 FEB 04 1015,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 12-3,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 FEB 02 0830,TNSC,30.400938,130.97564,H3-22,Michibiki 6 (QZS-6),S,"Yoshinobu Launch Complex LP-2 / Tanegashima Space Center, Japan"
2025 FEB 01 2302,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 11-4,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2025 JAN 30 0134,KSC,28.60822681,-80.60428186,Falcon 9 Block 5,SpainSat NG I,S,"Launch Complex 39A / Kennedy Space Center, FL, USA"
2025 JAN 29 0053,SDSC,13.7199,80.2304,GSLV Mk. II,GSLV Mk II | IRNSS-1K (NVS-02),S,"Satish Dhawan Space Centre Second Launch Pad / Satish Dhawan Space Centre, India"
2025 JAN 27 2205,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 12-7,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2025 JAN 24 1407,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 11-6,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2025 JAN 23 1532,XSLC,28.245504,102.026768,Long March 3B/E,TJSW-14,S,"Launch Complex 2 (LC-2) / Xichang Satellite Launch Center, People's Republic of China"
2025 JAN 23 0515,TSLC,38.8583,111.5802,Long March 6A,SpaceSail Polar Group #4,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2025 JAN 21 1545,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 11-8,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2025 JAN 21 0524,KSC,28.60822681,-80.60428186,Falcon 9 Block 5,Starlink Group 13-1,S,"Launch Complex 39A / Kennedy Space Center, FL, USA"
2025 JAN 20 1011,JSLC,40.969117,100.343333,Ceres-1,5 satellites,S,"Launch Area 95A / Jiuquan Satellite Launch Center, People's Republic of China"
2025 JAN 17 0407,JSLC,40.960482,100.298059,Long March 2D,PRSC-EO1,S,"Launch Area 94 (SLS-2 / 603) / Jiuquan Satellite Launch Center, People's Republic of China"
2025 JAN 16 2237,Starbase,25.9962,-97.154423,Starship V2,Starship | Flight 7,F,"Orbital Launch Pad 1 / SpaceX Starbase, TX, USA"
