Launch Date and Time (UTC),Launch Site (Abbrv.),Latitude,Longitude,Launch Vehicle,Official Payload Name,Success,Launch Site (Full)
2026 APR 22 0136,WFF,37.833262,-75.488235,Electron,HASTE | Bubbles,S,"Rocket Lab Launch Complex 2 (Launch Area 0 C) / Wallops Flight Facility, Virginia, USA"
2026 APR 21 0653,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,GPS III SV10,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 19 1603,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-22,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 19 1125,CCSFS,28.4705556,-80.542194,New Glenn,BlueBird Block 2 #2,F,"Launch Complex 36A / Cape Canaveral SFS, FL, USA"
2026 APR 17 0410,JSLC,40.960482,100.298059,Long March 4C,Daqi-2 (AEMS),S,"Launch Area 94 (SLS-2 / 603) / Jiuquan Satellite Launch Center, People's Republic of China"
2026 APR 16 2317,Plesetsk,62.92883,40.457098,Soyuz 2.1b Volga,Soyuz 2.1b/Volga | Kosmos (Unknown Payload),S,"43/4 (43R) / Plesetsk Cosmodrome, Russian Federation"
2026 APR 15 0429,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-27,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 14 0933,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-24,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 14 0403,JSLC,40.8182,100.22514,Kinetica 1,8 x Jilin-1,S,"Launch Area 130 / Jiuquan Satellite Launch Center, People's Republic of China"
2026 APR 11 1141,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Cygnus CRS-2 NG-24 (S.S. Steven R. Nagel),S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 11 1132,YSLA,21.366667,112.116667,Smart Dragon 3,SatNet test satellite,S,South China Sea (launch location 3) / Haiyang Oriental Spaceport
2026 APR 11 0504,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-21,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 08 1938,TSLC,38.8583,111.5802,Long March 6A,SatNet LEO Group 21,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 APR 07 1332,WSLC,19.597275,110.930753,Long March 8,SpaceSail Polar Group #7,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
2026 APR 07 1133,VSFB,34.57635,-120.63245,Minotaur IV,STP-S29A,S,"Space Launch Complex 8 / Vandenberg SFB, CA, USA"
2026 APR 07 0250,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-35,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 04 0546,CCSFS,28.58341025,-80.58303644,Atlas V 551,Amazon Leo (LA-05),S,"Space Launch Complex 41 / Cape Canaveral SFS, FL, USA"
2026 APR 03 0628,Plesetsk,62.9273,40.45,Soyuz 2.1a Fregat-M,Soyuz 2.1a/Fregat-M | Meridian-M No.21L,S,"43/3 (43L) / Plesetsk Cosmodrome, Russian Federation"
2026 APR 03 0417,JSLC,40.8072,100.13644,Tianlong-3,Demo Flight,F,"Tianlong-3 Launch Pad / Jiuquan Satellite Launch Center, People's Republic of China"
2026 APR 02 1155,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-58,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 01 2235,KSC,28.62711233,-80.62101503,Space Launch System Block 1,SLS Block 1 | Artemis II,S,"Launch Complex 39B / Kennedy Space Center, FL, USA"
2026 MAR 30 2115,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-44,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAR 30 1102,VSFB,34.632,-120.611,Falcon 9 Block 5,Transporter 16 (Dedicated SSO Rideshare),S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAR 30 1100,JSLC,40.81748,100.21939,Kinetica 2,Demo Flight (Qingzhou Prototype Spacecraft),S,"Launch Area 140 / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAR 28 0914,LC-1,-39.262833,177.864469,Electron,Daughter Of The Stars (LEO-PNT Pathfinder A),S,"Rocket Lab Launch Complex 1A / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2026 MAR 20 0000,VSFB,34.742,-120.572,Falcon 9,Starlink-371 (17-15),S,"California, United States"
2026 MAR 20 0000,MP,-39.261,177.864,Electron,"""Eight Days a Week""",S,New Zealand
2026 MAR 19 0000,KSC,28.572,-80.648,Falcon 9,Starlink-370 (10-33),S,"Florida, United States"
